pixel_x,pixel_y,real_x,real_y
57.0,54.0,2.0,2.0
59.0,171.0,2.0,6.0
60.0,289.0,2.0,10.0
57.0,418.0,2.0,14.0
56.0,527.0,2.0,18.0
176.0,53.0,6.0,2.0
178.0,180.0,6.0,6.0
177.0,290.0,6.0,10.0
171.0,410.0,6.0,14.0
177.0,529.0,6.0,18.0
298.0,50.0,10.0,2.0
298.0,173.0,10.0,6.0
294.0,291.0,10.0,10.0
300.0,413.0,10.0,14.0
297.0,525.0,10.0,18.0
426.0,48.0,14.0,2.0
423.0,166.0,14.0,6.0
422.0,294.0,14.0,10.0
416.0,413.0,14.0,14.0
417.0,529.0,14.0,18.0
543.0,48.0,18.0,2.0
541.0,164.0,18.0,6.0
537.0,298.0,18.0,10.0
542.0,412.0,18.0,14.0
541.0,529.0,18.0,18.0
672.0,45.0,22.0,2.0
668.0,164.0,22.0,6.0
675.0,286.0,22.0,10.0
670.0,408.0,22.0,14.0
664.0,530.0,22.0,18.0
761.0,45.0,25.0,2.0
324,261,12.0,9.0
Regression Parameters
a1,0.2692021463025078
b1,0.03264566960732283
a2,0.3450855909109922
b2,0.033280512713951875
